Date;Description;Compte;Montant;Catégorie;Sous-Catégorie;Note;Pointée
"16/02/2023";"Lucas Klethi Raclette Et Sexe";"Solde Lydia";"10.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"14/02/2023";"Theo Peltier Pizza";"Solde Lydia";"5.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"06/02/2023";"Lola Teynier";"Solde Lydia";"10.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"04/02/2023";"Lucas Klethi Thtre";"Solde Lydia";"-15.0";"Loisirs & Sorties";"Sorties culturelles";"";"Non"
"04/02/2023";"Theo Peltier Bire Culte";"Solde Lydia";"-11.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"29/01/2023";"Anais Martinez Hello T'es Frache";"Solde Lydia";"-15.0";"Loisirs & Sorties";"Divertissements";"";"Non"
"27/01/2023";"Mathieu Dupuy Bire";"Solde Lydia";"2.95";"Entrées d'argent";"Autres rentrées";"";"Non"
"17/01/2023";"Google";"Solde Lydia";"-9.99";"Divers";"Autres dépenses";"";"Non"
"09/01/2023";"Mathieu Dupuy Ddommagement Blagues Paulo";"Solde Lydia";"6.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"07/01/2023";"Helene Dalvit Netflix Et Spotify";"Solde Lydia";"86.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"05/01/2023";"Ticketmaster";"Solde Lydia";"-3.45";"Achats & Shopping";"Cadeaux";"";"Non"
"03/01/2023";"Steven Jennet Taxi Ucpa";"Solde Lydia";"-12.35";"Auto & Transports";"Auto & Transports - Autres";"";"Non"
"24/07/2023";"Virement En Votre Faveur C E Murex Rbt Abo Sport Et Cultu Rbt Abo Sport Et Culture Rbt Abo Sport Et Culture";"Compte De Dépôt M. Bourhis Paul";"200.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"21/07/2023";"Virement En Votre Faveur Pacifica Credit Agricole Assurance Habitation Echeance Cotisation Du Contrat Pacifica";"Compte De Dépôt M. Bourhis Paul";"6.7";"Entrées d'argent";"Autres rentrées";"";"Non"
"19/07/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-19.12";"Achats & Shopping";"Vêtements/Chaussures";"";"Non"
"14/07/2023";"Prlv Offre Globe Trotter";"Compte De Dépôt M. Bourhis Paul";"-2.0";"Alimentation & Restau.";"Fast foods";"";"Non"
"13/07/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-15.99";"Achats & Shopping";"Vêtements/Chaussures";"";"Non"
"12/07/2023";"Prlv Syndiceo Prl. Syndic Syndiceo";"Compte De Dépôt M. Bourhis Paul";"-470.79";"Logement";"Charges diverses";"";"Non"
"11/07/2023";"Prlv Edf Clients Particuliers Numero De Client Numero De Compte Xxx Simm";"Compte De Dépôt M. Bourhis Paul";"-40.11";"Logement";"Electricité";"";"Non"
"10/07/2023";"CB Roadsurfer Gmbh Muen";"Compte De Dépôt M. Bourhis Paul";"-2790.0";"Loisirs & Sorties";"Voyages / Vacances";"";"Non"
"06/07/2023";"Virement En Votre Faveur M Bourhis Paul Virement Interne Depuis Boursorama Banque";"Compte De Dépôt M. Bourhis Paul";"3000.0";"Entrées d'argent";"Virements internes";"";"Non"
